"Dataset","Age","lh_bankssts_thickness"
"ABIDE_I","11.56",2.8335636815407
"ABIDE_I","12.1",2.82092386719922
"ABIDE_I","12.44",2.52101554509673
"ABIDE_I","13.22",2.74048868502614
"ABIDE_I","13.25",2.51067387881733
"ABIDE_I","14.06",2.57846924664893
"ABIDE_I","14.18",2.38427573540249
"ABIDE_I","14.38",2.59455628308354
"ABIDE_I","14.42",2.25328129586347
"ABIDE_I","15.95",2.75083035130553
"ABIDE_I","17.31",2.64511554044948
"ABIDE_I","21.58",2.44862388114095
"ABIDE_I","22.11",2.67728961331871
"ABIDE_I","22.76",2.67728961331871
"ABIDE_I","22.74",2.63362480013904
"ABIDE_I","27.03",2.36129425478161
"ABIDE_I","27.76",2.76921553580224
"ABIDE_I","29.13",2.56238221021431
"ABIDE_I","7.26",2.33683810931263
"ABIDE_I","10.52",2.60342328451484
"ABIDE_I","18.59",2.4873668073794
"ABIDE_I","23.65",2.4092297732684
"ABIDE_I","31.78",2.26674459341894
"ABIDE_I","8.15",2.80566031397859
"ABIDE_I","7.29",2.76199550079892
"ABIDE_I","10.69",2.25985014923268
"ABIDE_I","11.91",2.35981958993351
"ABIDE_I","12.49",2.44140384613763
"ABIDE_I","12.81",3.02743160197009
"ABIDE_I","14.2",2.6884547628121
"ABIDE_I","16.93",2.66317513412913
"ABIDE_I","17.3",2.81485290622694
"ABIDE_I","6.47",2.58733624808022
"ABIDE_I","7.19",3.00904641747338
"ABIDE_I","8.01",2.659727912036
"ABIDE_I","8.82",2.51839180621758
"ABIDE_I","8.88",2.46208717869643
"ABIDE_I","8.93",2.47932328916209
"ABIDE_I","9.23",2.5735473597077
"ABIDE_I","9.81",2.93665475351761
"ABIDE_I","10.46",2.71488346552611
