"Dataset","lh_inferiortemporal_thickness"
"BGSP",2.795
"BGSP",2.59
"BGSP",2.508
"BGSP",2.618
"BGSP",2.545
"BGSP",2.508
"BGSP",2.695
"BGSP",2.613
"BGSP",2.79
"BGSP",2.592
"BGSP",2.627
"BGSP",2.563
"BGSP",2.73
"BGSP",2.631
"BGSP",2.662
"BGSP",2.764
"BGSP",2.578
"BGSP",2.525
"BGSP",2.512
"BGSP",2.852
"BGSP",2.593
"BGSP",2.696
"BGSP",2.558
"BGSP",2.805
"BGSP",2.574
"BGSP",2.988
"BGSP",2.896
"BGSP",2.457
"BGSP",2.909
"BGSP",2.807
"BGSP",2.63
"BGSP",2.691
"BGSP",2.746
"BGSP",2.816
"BGSP",2.448
"BGSP",2.628
"BGSP",2.501
"BGSP",2.779
"BGSP",2.765
"BGSP",2.746
"BGSP",2.59
"BGSP",2.767
"BGSP",2.683
"BGSP",2.818
"BGSP",2.71
"BGSP",2.622
"BGSP",2.805
"BGSP",2.707
"BGSP",2.65
"BGSP",2.754
"BGSP",2.804
"BGSP",2.823
"BGSP",2.701
"BGSP",2.675
"BGSP",2.715
"BGSP",2.638
"BGSP",2.789
"BGSP",2.563
"BGSP",2.586
"BGSP",2.698
"BGSP",2.49
"BGSP",2.7
"BGSP",2.62
"BGSP",2.727
"BGSP",2.744
"BGSP",2.479
"BGSP",2.555
"BGSP",2.584
"BGSP",2.743
"BGSP",2.701
"BGSP",2.666
"BGSP",2.826
"BGSP",2.72
"BGSP",2.606
"BGSP",2.688
"BGSP",2.532
"BGSP",2.69
"BGSP",2.835
"BGSP",2.714
"BGSP",2.691
"BGSP",2.914
"BGSP",2.886
"BGSP",2.543
"BGSP",2.705
"BGSP",2.496
"BGSP",2.646
"BGSP",2.657
"BGSP",2.607
"BGSP",2.604
"BGSP",2.372
"BGSP",2.701
"BGSP",2.707
"BGSP",2.73
"BGSP",2.673
"BGSP",2.645
"BGSP",2.674
"BGSP",2.571
"BGSP",2.419
"BGSP",2.411
"BGSP",2.577
"BGSP",2.689
"BGSP",2.829
"BGSP",2.698
"BGSP",2.645
"BGSP",2.653
"BGSP",2.57
"BGSP",2.67
"BGSP",2.871
"BGSP",2.859
"BGSP",2.73
"BGSP",2.7
"BGSP",2.488
"BGSP",2.722
"BGSP",2.866
"BGSP",2.614
"BGSP",2.72
"BGSP",2.574
"BGSP",2.69
"BGSP",2.891
"BGSP",2.736
"BGSP",2.82
"BGSP",2.704
"BGSP",2.556
"BGSP",2.708
"BGSP",2.825
"BGSP",2.913
"BGSP",2.632
"BGSP",2.708
"BGSP",2.492
"BGSP",2.743
"BGSP",2.684
"BGSP",2.616
"BGSP",2.698
"BGSP",2.685
"BGSP",2.651
"BGSP",2.596
"BGSP",2.52
"BGSP",2.726
"BGSP",2.609
"BGSP",2.684
"BGSP",2.572
"BGSP",2.634
"BGSP",2.699
"BGSP",2.838
"BGSP",2.787
"BGSP",2.683
"BGSP",2.633
"BGSP",2.824
"BGSP",2.696
"BGSP",2.708
"BGSP",2.829
"BGSP",2.572
"BGSP",2.77
"BGSP",2.656
"BGSP",2.58
"BGSP",2.66
"BGSP",2.826
"BGSP",2.994
"BGSP",2.638
"BGSP",2.798
"BGSP",2.795
"BGSP",2.471
"BGSP",2.737
"BGSP",2.835
"BGSP",2.694
"BGSP",2.771
"BGSP",2.87
"BGSP",2.779
"BGSP",2.728
"BGSP",2.827
"BGSP",2.592
"BGSP",2.753
"BGSP",2.476
"BGSP",2.765
"BGSP",2.669
"BGSP",2.77
"BGSP",2.572
"BGSP",2.683
"BGSP",2.709
"BGSP",2.561
"BGSP",2.794
"BGSP",2.844
"BGSP",2.67
"BGSP",2.55
"BGSP",2.718
"BGSP",2.789
"BGSP",2.573
"BGSP",2.703
"BGSP",2.739
"BGSP",2.811
"BGSP",2.47
"BGSP",2.822
"BGSP",2.596
"BGSP",2.553
